价格倒是很便宜，网站上照片和实际情况严重不符，修图太过了，估计是长时间没人住就没人打扫，地上一层灰，浴室出热水很不稳定，大冬天的特别冷，楼梯很陡峭，很危险 ,浴室,negative,楼梯,negative,价格,positive,,,,,,
价格倒是很便宜，网站上照片和实际情况严重不符，修图太过了，估计是长时间没人住就没人打扫，地上一层灰，楼梯很陡峭，很危险，浴室出热水很不稳定，大冬天的特别冷 ,浴室,negative,楼梯,negative,价格,positive,,,,,,
价格倒是很便宜，浴室出热水很不稳定，大冬天的特别冷，网站上照片和实际情况严重不符，修图太过了，楼梯很陡峭，很危险，估计是长时间没人住就没人打扫，地上一层灰 ,浴室,negative,楼梯,negative,价格,positive,,,,,,
价格倒是很便宜，浴室出热水很不稳定，大冬天的特别冷，网站上照片和实际情况严重不符，修图太过了，估计是长时间没人住就没人打扫，地上一层灰，楼梯很陡峭，很危险 ,浴室,negative,楼梯,negative,价格,positive,,,,,,
价格倒是很便宜，浴室出热水很不稳定，大冬天的特别冷，楼梯很陡峭，很危险，网站上照片和实际情况严重不符，修图太过了，估计是长时间没人住就没人打扫，地上一层灰 ,浴室,negative,楼梯,negative,价格,positive,,,,,,
环境也很温馨，房东小姐姐人很好，价格有点贵，只是位置比较偏远，周边没有地铁站 ,房东,positive,环境,positive,价格,negative,位置,negative,,,,
环境也很温馨，房东小姐姐人很好，只是位置比较偏远，周边没有地铁站，价格有点贵 ,房东,positive,环境,positive,价格,negative,位置,negative,,,,
环境也很温馨，价格有点贵，房东小姐姐人很好，只是位置比较偏远，周边没有地铁站 ,房东,positive,环境,positive,价格,negative,位置,negative,,,,
环境也很温馨，价格有点贵，只是位置比较偏远，周边没有地铁站，房东小姐姐人很好 ,房东,positive,环境,positive,价格,negative,位置,negative,,,,
环境也很温馨，只是位置比较偏远，周边没有地铁站，房东小姐姐人很好，价格有点贵 ,房东,positive,环境,positive,价格,negative,位置,negative,,,,
环境也很温馨，只是位置比较偏远，周边没有地铁站，价格有点贵，房东小姐姐人很好 ,房东,positive,环境,positive,价格,negative,位置,negative,,,,
价格有点贵，房东小姐姐人很好，环境也很温馨，只是位置比较偏远，周边没有地铁站 ,房东,positive,环境,positive,价格,negative,位置,negative,,,,
价格有点贵，房东小姐姐人很好，只是位置比较偏远，周边没有地铁站，环境也很温馨 ,房东,positive,环境,positive,价格,negative,位置,negative,,,,
个人感觉还不错，卫生有待加强，店主比较热情，这么便宜性价比很高，周边就有公交车站和地铁站很方便，被子看起来也没换过 ,店主,positive,卫生,negative,性价比,positive,卫生间,negative,被子,negative,,
个人感觉还不错，卫生有待加强，店主比较热情，这么便宜性价比很高，被子看起来也没换过，周边就有公交车站和地铁站很方便 ,店主,positive,卫生,negative,性价比,positive,卫生间,negative,被子,negative,,
周边就有公交车站和地铁站很方便，个人感觉还不错，被子看起来也没换过，卫生有待加强，店主比较热情，这么便宜性价比很高 ,店主,positive,卫生,negative,性价比,positive,卫生间,negative,被子,negative,,
周边就有公交车站和地铁站很方便，个人感觉还不错，被子看起来也没换过，卫生有待加强，这么便宜性价比很高，店主比较热情 ,店主,positive,卫生,negative,性价比,positive,卫生间,negative,被子,negative,,
周边就有公交车站和地铁站很方便，个人感觉还不错，卫生有待加强，店主比较热情，这么便宜性价比很高，被子看起来也没换过 ,店主,positive,卫生,negative,性价比,positive,卫生间,negative,被子,negative,,
周边就有公交车站和地铁站很方便，个人感觉还不错，卫生有待加强，店主比较热情，被子看起来也没换过，这么便宜性价比很高 ,店主,positive,卫生,negative,性价比,positive,卫生间,negative,被子,negative,,
周边就有公交车站和地铁站很方便，个人感觉还不错，卫生有待加强，这么便宜性价比很高，店主比较热情，被子看起来也没换过 ,店主,positive,卫生,negative,性价比,positive,卫生间,negative,被子,negative,,
周边就有公交车站和地铁站很方便，个人感觉还不错，卫生有待加强，这么便宜性价比很高，被子看起来也没换过，店主比较热情 ,店主,positive,卫生,negative,性价比,positive,卫生间,negative,被子,negative,,
这么便宜性价比很高，周边就有公交车站和地铁站很方便，店主比较热情，个人感觉还不错，卫生有待加强，被子看起来也没换过 ,店主,positive,卫生,negative,性价比,positive,卫生间,negative,被子,negative,,
这么便宜性价比很高，周边就有公交车站和地铁站很方便，店主比较热情，被子看起来也没换过，个人感觉还不错，卫生有待加强 ,店主,positive,卫生,negative,性价比,positive,卫生间,negative,被子,negative,,
这么便宜性价比很高，周边就有公交车站和地铁站很方便，店主比较热情，被子看起来也没换过，卫生有待加强，个人感觉还不错 ,店主,positive,卫生,negative,性价比,positive,卫生间,negative,被子,negative,,
这么便宜性价比很高，周边就有公交车站和地铁站很方便，店主比较热情，卫生有待加强，个人感觉还不错，被子看起来也没换过 ,店主,positive,卫生,negative,性价比,positive,卫生间,negative,被子,negative,,
这么便宜性价比很高，周边就有公交车站和地铁站很方便，店主比较热情，卫生有待加强，被子看起来也没换过，个人感觉还不错 ,店主,positive,卫生,negative,性价比,positive,卫生间,negative,被子,negative,,
这么便宜性价比很高，周边就有公交车站和地铁站很方便，被子看起来也没换过，个人感觉还不错，店主比较热情，卫生有待加强 ,店主,positive,卫生,negative,性价比,positive,卫生间,negative,被子,negative,,
这么便宜性价比很高，周边就有公交车站和地铁站很方便，被子看起来也没换过，个人感觉还不错，卫生有待加强，店主比较热情 ,店主,positive,卫生,negative,性价比,positive,卫生间,negative,被子,negative,,
这么便宜性价比很高，周边就有公交车站和地铁站很方便，被子看起来也没换过，店主比较热情，个人感觉还不错，卫生有待加强 ,店主,positive,卫生,negative,性价比,positive,卫生间,negative,被子,negative,,
这么便宜性价比很高，被子看起来也没换过，周边就有公交车站和地铁站很方便，店主比较热情，卫生有待加强，个人感觉还不错 ,店主,positive,卫生,negative,性价比,positive,卫生间,negative,被子,negative,,
被子看起来也没换过，个人感觉还不错，卫生有待加强，周边就有公交车站和地铁站很方便，店主比较热情，这么便宜性价比很高 ,店主,positive,卫生,negative,性价比,positive,卫生间,negative,被子,negative,,
被子看起来也没换过，个人感觉还不错，卫生有待加强，周边就有公交车站和地铁站很方便，这么便宜性价比很高，店主比较热情 ,店主,positive,卫生,negative,性价比,positive,卫生间,negative,被子,negative,,
客厅很有品味，房间很舒服，宽敞干净，提供的早餐不好吃，床很大很软，缺点就是住宿的价格有些小高，而且某些生活必需品也不提供 ,房间,positive,早餐,negative,床,positive,客厅,positive,价格,negative,,
缺点就是住宿的价格有些小高，而且某些生活必需品也不提供，房间很舒服，宽敞干净，床很大很软，提供的早餐不好吃，客厅很有品味 ,房间,positive,早餐,negative,床,positive,客厅,positive,价格,negative,,
缺点就是住宿的价格有些小高，而且某些生活必需品也不提供，房间很舒服，宽敞干净，客厅很有品味，床很大很软，提供的早餐不好吃 ,房间,positive,早餐,negative,床,positive,客厅,positive,价格,negative,,
缺点就是住宿的价格有些小高，而且某些生活必需品也不提供，房间很舒服，宽敞干净，客厅很有品味，提供的早餐不好吃，床很大很软 ,房间,positive,早餐,negative,床,positive,客厅,positive,价格,negative,,
缺点就是住宿的价格有些小高，而且某些生活必需品也不提供，房间很舒服，宽敞干净，提供的早餐不好吃，床很大很软，客厅很有品味 ,房间,positive,早餐,negative,床,positive,客厅,positive,价格,negative,,
缺点就是住宿的价格有些小高，而且某些生活必需品也不提供，客厅很有品味，提供的早餐不好吃，床很大很软，房间很舒服，宽敞干净 ,房间,positive,早餐,negative,床,positive,客厅,positive,价格,negative,,
缺点就是住宿的价格有些小高，而且某些生活必需品也不提供，提供的早餐不好吃，房间很舒服，宽敞干净，床很大很软，客厅很有品味 ,房间,positive,早餐,negative,床,positive,客厅,positive,价格,negative,,
缺点就是住宿的价格有些小高，而且某些生活必需品也不提供，提供的早餐不好吃，房间很舒服，宽敞干净，客厅很有品味，床很大很软 ,房间,positive,早餐,negative,床,positive,客厅,positive,价格,negative,,
